Date,Type,Amount,To/From
"Mar 31, 2022, 9:04:06 PM IST",Paid,₹6260.00,
"Mar 31, 2022, 8:46:58 PM IST",Received,₹1260.00,
"Mar 27, 2022, 4:53:33 PM IST",Paid,₹100.00,Indian Oil
"Mar 27, 2022, 11:12:21 AM IST",Paid,₹25.00,Jio Prepaid
"Mar 25, 2022, 7:26:49 PM IST",Paid,₹20.00,RAMESH KUMAR P
"Mar 25, 2022, 4:37:05 PM IST",Received,₹100.00,
"Mar 24, 2022, 6:18:05 PM IST",Sent,₹500.00,
"Mar 23, 2022, 9:02:44 AM IST",Paid,₹25.00,Jio Prepaid
"Mar 21, 2022, 9:12:17 PM IST",Sent,₹50.00,
"Mar 20, 2022, 10:04:23 PM IST",Sent,₹1600.00,
"Mar 20, 2022, 12:13:26 AM IST",Paid,₹4500.00,
"Mar 19, 2022, 11:34:50 PM IST",Sent,₹190.75,
"Mar 17, 2022, 9:15:36 PM IST",Sent,₹170.00,
"Mar 15, 2022, 11:27:51 PM IST",Received,₹95.00,
"Mar 15, 2022, 6:27:04 PM IST",Paid,₹140.00,V V V Subway
"Mar 15, 2022, 1:00:07 AM IST",Sent,₹285.00,
"Mar 12, 2022, 5:30:02 PM IST",Paid,₹2870.00,OM SAKTHI MOTORS
"Mar 10, 2022, 9:27:06 PM IST",Paid,₹175.00,MASS RESTAURANT
"Mar 9, 2022, 9:09:04 PM IST",Sent,₹100.00,
"Mar 8, 2022, 8:58:57 PM IST",Sent,₹30.00,
"Mar 7, 2022, 9:36:31 PM IST",Paid,₹125.00,Mass Restaurant
"Mar 7, 2022, 8:01:20 PM IST",Sent,₹8800.00,
"Mar 4, 2022, 10:26:54 PM IST",Paid,₹395.00,Jio Mobility
"Mar 3, 2022, 9:16:23 PM IST",Sent,₹75.00,
"Mar 3, 2022, 9:15:38 PM IST",Sent,₹89.00,
"Mar 3, 2022, 7:42:45 PM IST",Sent,₹500.00,
"Mar 3, 2022, 7:39:32 PM IST",Paid,₹6453.00,HDFC STANDARD LIFE CONVENTIONAL
"Mar 2, 2022, 8:14:18 PM IST",Paid,₹500.00,CCAVENUES
"Mar 2, 2022, 7:57:13 PM IST",Paid,₹242.00,Sun Direct
"Mar 2, 2022, 7:45:27 PM IST",Paid,₹218.00,
"Mar 2, 2022, 12:25:50 PM IST",Sent,₹200.00,
"Mar 2, 2022, 2:01:04 AM IST",Paid,₹647.82,ACT  Broadband
"Mar 1, 2022, 8:12:24 PM IST",Sent,₹500.00,
"Mar 1, 2022, 4:33:04 PM IST",Paid,₹2380.00,
"Feb 27, 2022, 12:57:23 PM IST",Paid,₹35.00,A M NATTU MARUNDHU KADAI
"Feb 27, 2022, 10:08:49 AM IST",Received,₹280.00,
"Feb 27, 2022, 9:33:36 AM IST",Paid,₹220.00,
"Feb 26, 2022, 10:04:38 AM IST",Received,₹600.00,
"Feb 26, 2022, 9:55:45 AM IST",Paid,₹100.00,Sree Balaji Enterprises
"Feb 26, 2022, 9:55:24 AM IST",Paid,₹100.00,Sree Balaji Enterprises
"Feb 25, 2022, 7:56:20 PM IST",Sent,₹25.00,
"Feb 25, 2022, 7:53:59 PM IST",Sent,₹1200.00,
"Feb 25, 2022, 7:45:26 PM IST",Paid,₹75.00,SHAHNAS T
"Feb 25, 2022, 1:27:38 PM IST",Paid,₹80.00,
"Feb 25, 2022, 9:46:05 AM IST",Paid,₹80.00,
"Feb 24, 2022, 11:00:03 PM IST",Paid,₹462.80,BOOKMYSHOW
"Feb 21, 2022, 7:48:16 PM IST",Paid,₹540.00,Topi Vappa Madipakkam
"Feb 20, 2022, 8:45:16 PM IST",Paid,₹600.00,Style Loft Menswear
"Feb 20, 2022, 2:57:06 PM IST",Paid,₹90.00,Dum Biriyani
"Feb 20, 2022, 9:38:49 AM IST",Paid,₹2000.00,
"Feb 20, 2022, 9:38:43 AM IST",Paid,₹2000.00,
"Feb 20, 2022, 9:05:12 AM IST",Sent,₹500.00,
"Feb 20, 2022, 9:03:41 AM IST",Sent,₹1.00,
"Feb 19, 2022, 10:23:31 PM IST",Sent,₹83.00,
"Feb 19, 2022, 9:25:44 AM IST",Paid,₹470.00,
"Feb 19, 2022, 7:26:18 AM IST",Paid,₹1899.00,
"Feb 19, 2022, 7:25:37 AM IST",Paid,₹1.00,
"Feb 18, 2022, 11:35:11 PM IST",Sent,₹1500.00,
"Feb 18, 2022, 9:52:31 PM IST",Paid,₹150.00,
"Feb 17, 2022, 8:35:24 PM IST",Paid,₹1600.00,M M Jewellery
"Feb 17, 2022, 8:24:45 PM IST",Received,₹1500.00,
"Feb 17, 2022, 7:39:33 AM IST",Paid,"₹20,000.00",
"Feb 16, 2022, 7:34:31 AM IST",Paid,₹242.00,Sun Direct
"Feb 15, 2022, 10:29:37 PM IST",Received,₹190.00,
"Feb 15, 2022, 10:22:20 PM IST",Sent,₹190.00,
"Feb 15, 2022, 10:19:19 PM IST",Received,₹190.00,
"Feb 15, 2022, 10:19:02 PM IST",Received,₹4.00,Google
"Feb 15, 2022, 10:18:32 PM IST",Sent,₹190.00,
"Feb 14, 2022, 6:48:33 AM IST",Sent,₹14.00,
"Feb 12, 2022, 9:08:04 PM IST",Paid,₹1000.00,
"Feb 12, 2022, 9:07:21 PM IST",Sent,₹1500.00,
"Feb 11, 2022, 8:29:38 PM IST",Paid,₹155.00,Vinayakha Medicals A
"Feb 11, 2022, 7:05:16 PM IST",Paid,₹25.00,Saravana Sweets Bakery
"Feb 11, 2022, 8:58:09 AM IST",Paid,₹179.00,Vi Prepaid
"Feb 10, 2022, 11:22:30 PM IST",Paid,"₹10,000.00",
"Feb 10, 2022, 7:44:30 PM IST",Received,"₹10,000.00",
"Feb 8, 2022, 2:20:00 PM IST",Received,₹1200.00,
"Feb 7, 2022, 12:46:14 PM IST",Received,₹80.00,
"Feb 7, 2022, 10:22:04 AM IST",Sent,"₹10,000.00",
"Feb 7, 2022, 8:47:05 AM IST",Paid,₹229.00,ConfirmTkt
"Feb 6, 2022, 10:20:47 AM IST",Paid,₹688.00,ConfirmTkt
"Feb 5, 2022, 8:21:23 PM IST",Received,₹60.00,
"Feb 5, 2022, 8:20:46 PM IST",Received,₹80.00,
"Feb 5, 2022, 8:20:36 PM IST",Received,₹60.00,
"Feb 5, 2022, 8:43:39 AM IST",Received,₹600.00,
"Feb 3, 2022, 11:15:51 PM IST",Paid,₹98.00,Groww
"Feb 3, 2022, 10:54:13 PM IST",Paid,₹128.00,Groww
"Feb 3, 2022, 10:40:39 PM IST",Paid,₹550.00,Groww
"Feb 2, 2022, 7:53:41 PM IST",Sent,₹990.00,
"Feb 1, 2022, 10:51:08 PM IST",Received,₹10.00,
"Feb 1, 2022, 10:37:50 PM IST",Received,₹1990.00,
"Feb 1, 2022, 9:12:02 PM IST",Sent,₹1000.00,
"Feb 1, 2022, 8:51:52 PM IST",Sent,₹2000.00,
"Feb 1, 2022, 8:18:12 PM IST",Paid,₹500.00,CCAVENUES
"Feb 1, 2022, 8:05:01 PM IST",Paid,₹2380.00,
"Feb 1, 2022, 8:00:35 PM IST",Paid,₹647.82,ACT Broadband
"Feb 1, 2022, 5:04:26 PM IST",Paid,₹140.00,Tamil Nadu Electricity (TNEB)
"Jan 30, 2022, 10:11:08 PM IST",Received,₹780.00,
"Jan 30, 2022, 10:03:05 PM IST",Sent,₹780.00,
"Jan 30, 2022, 10:02:24 PM IST",Received,₹780.00,
"Jan 30, 2022, 10:01:34 PM IST",Sent,₹780.00,
"Jan 30, 2022, 9:59:19 PM IST",Received,₹780.00,
"Jan 30, 2022, 9:58:59 PM IST",Sent,₹780.00,
"Jan 30, 2022, 9:49:53 PM IST",Received,₹780.00,
"Jan 30, 2022, 9:49:15 PM IST",Sent,₹780.00,
"Jan 30, 2022, 9:48:20 PM IST",Received,₹780.00,
"Jan 30, 2022, 9:46:34 PM IST",Sent,₹780.00,
"Jan 30, 2022, 9:45:41 PM IST",Received,₹780.00,
"Jan 30, 2022, 9:44:18 PM IST",Sent,₹780.00,
"Jan 30, 2022, 9:42:06 PM IST",Received,₹780.00,
"Jan 30, 2022, 9:41:14 PM IST",Sent,₹780.00,
"Jan 30, 2022, 9:32:52 PM IST",Received,₹780.00,
"Jan 30, 2022, 9:31:37 PM IST",Sent,₹160.00,
"Jan 30, 2022, 9:30:35 PM IST",Sent,₹780.00,
"Jan 30, 2022, 9:21:34 PM IST",Received,₹780.00,
"Jan 30, 2022, 6:07:45 PM IST",Received,₹550.00,
"Jan 29, 2022, 12:45:25 PM IST",Paid,₹500.00,
"Jan 29, 2022, 10:54:22 AM IST",Received,₹776.00,
"Jan 24, 2022, 5:31:19 PM IST",Sent,"₹10,000.00",
"Jan 24, 2022, 5:29:51 PM IST",Received,₹1.00,
"Jan 21, 2022, 10:46:49 PM IST",Sent,₹1499.00,
"Jan 21, 2022, 10:31:19 PM IST",Received,₹1.00,
"Jan 21, 2022, 10:29:42 PM IST",Received,₹5000.00,
"Jan 21, 2022, 10:21:36 PM IST",Paid,₹5000.00,
"Jan 21, 2022, 10:21:00 PM IST",Paid,₹1.00,
"Jan 21, 2022, 6:38:12 PM IST",Sent,₹150.00,
"Jan 21, 2022, 3:13:39 PM IST",Sent,₹1.00,
"Jan 21, 2022, 3:13:34 PM IST",Sent,₹1.00,
"Jan 21, 2022, 3:13:19 PM IST",Sent,₹1.00,
"Jan 21, 2022, 3:12:15 PM IST",Received,₹1.00,
"Jan 21, 2022, 1:17:23 PM IST",Received,₹1.50,
"Jan 18, 2022, 2:44:50 PM IST",Sent,₹200.00,
"Jan 18, 2022, 2:43:43 PM IST",Sent,₹1.00,
"Jan 16, 2022, 8:32:38 AM IST",Paid,₹395.00,Jio Mobility
"Jan 14, 2022, 10:10:53 AM IST",Paid,"₹25,000.00",
"Jan 14, 2022, 10:06:35 AM IST",Sent,₹499.00,
"Jan 13, 2022, 10:04:05 AM IST",Received,₹500.00,
"Jan 12, 2022, 7:23:46 PM IST",Paid,₹80.00,Arabian Home Food
"Jan 11, 2022, 6:07:04 PM IST",Paid,₹35.00,Dheeraj Kumar Ram
"Jan 10, 2022, 7:30:18 PM IST",Paid,₹94.20,APOLLO PHARMACY
"Jan 9, 2022, 8:09:15 PM IST",Paid,₹500.00,CCAVENUES
"Jan 9, 2022, 7:46:45 PM IST",Paid,₹442.28,Groww
"Jan 8, 2022, 8:19:56 PM IST",Paid,₹120.00,
"Jan 8, 2022, 8:02:13 PM IST",Paid,₹90.00,Selvaraj Jai Sreedhar Selvaraj
"Jan 8, 2022, 6:04:28 PM IST",Paid,₹100.00,
"Jan 8, 2022, 2:43:09 PM IST",Paid,₹300.00,Groww
"Jan 8, 2022, 2:29:44 PM IST",Received,₹6.00,Google
"Jan 8, 2022, 2:26:50 PM IST",Sent,₹8700.00,
"Jan 8, 2022, 8:20:31 AM IST",Received,₹599.00,
"Jan 5, 2022, 8:15:46 PM IST",Paid,₹70.00,GH CANTEEN
"Jan 4, 2022, 7:14:28 PM IST",Received,₹1100.00,
"Jan 4, 2022, 7:10:47 PM IST",Paid,₹1100.00,Mr Dhinesh Kumar G
"Jan 4, 2022, 9:54:09 AM IST",Received,₹4000.00,
"Jan 2, 2022, 8:49:25 PM IST",Paid,₹589.38,ACT  Broadband
"Jan 2, 2022, 6:20:15 PM IST",Paid,₹160.00,Devakumar Devanathan
"Jan 1, 2022, 6:36:52 PM IST",Paid,₹179.00,Vi Prepaid
"Jan 1, 2022, 4:49:41 PM IST",Paid,₹120.00,Yoonus
"Dec 31, 2021, 9:18:53 PM IST",Paid,₹2380.00,
"Dec 31, 2021, 7:04:52 PM IST",Sent,₹10.00,
"Dec 31, 2021, 1:16:54 PM IST",Sent,₹1499.00,
"Dec 31, 2021, 11:54:32 AM IST",Received,₹1500.00,
"Dec 29, 2021, 9:53:14 PM IST",Received,₹300.00,
"Dec 27, 2021, 7:30:32 PM IST",Paid,₹100.00,
"Dec 27, 2021, 7:17:36 PM IST",Paid,₹100.00,
"Dec 26, 2021, 7:09:53 PM IST",Paid,₹190.00,Mass Restaurant
"Dec 25, 2021, 9:04:51 PM IST",Paid,₹25.00,Jio Prepaid
"Dec 25, 2021, 7:39:03 PM IST",Paid,₹40.00,S L R BAKERY
"Dec 25, 2021, 10:12:53 AM IST",Paid,₹239.00,Jio Prepaid
"Dec 25, 2021, 7:12:37 AM IST",Received,₹600.00,
"Dec 25, 2021, 7:12:20 AM IST",Received,₹1.00,
"Dec 25, 2021, 6:27:33 AM IST",Paid,₹40.00,Halwa Kadai Velachery
"Dec 24, 2021, 7:34:31 PM IST",Paid,₹1200.00,
"Dec 24, 2021, 6:28:14 PM IST",Paid,₹204.00,APOLLO PHARMACY
"Dec 21, 2021, 8:56:53 PM IST",Paid,"₹15,000.00",
"Dec 21, 2021, 8:51:34 PM IST",Paid,₹1.00,
"Dec 21, 2021, 8:50:33 PM IST",Paid,₹1.00,
"Dec 21, 2021, 8:35:22 PM IST",Paid,₹60.00,Saravana Sweets Bakery
"Dec 21, 2021, 8:29:52 PM IST",Paid,₹42.20,APOLLO PHARMACY
"Dec 21, 2021, 9:06:08 AM IST",Paid,₹100.00,
"Dec 20, 2021, 9:07:49 AM IST",Paid,₹15.00,Jio Prepaid
"Dec 18, 2021, 9:11:26 PM IST",Sent,₹100.00,
"Dec 18, 2021, 9:02:39 PM IST",Sent,₹31.00,
"Dec 18, 2021, 6:27:40 PM IST",Received,₹405.00,
"Dec 18, 2021, 5:26:44 PM IST",Paid,₹405.00,Venkateswara Boli Stall
"Dec 17, 2021, 9:54:38 PM IST",Paid,₹242.00,my sundirect
"Dec 17, 2021, 9:40:19 PM IST",Paid,₹242.00,my sundirect
"Dec 17, 2021, 12:14:24 AM IST",Paid,₹1020.00,STATE TRANSPORT CORPORATION
"Dec 14, 2021, 8:32:55 PM IST",Paid,₹90.00,Amman Chettinadu Hotel
"Dec 13, 2021, 9:08:01 PM IST",Paid,₹688.00,Confirm Ticket
"Dec 13, 2021, 9:00:55 PM IST",Paid,₹688.00,Confirm Ticket
"Dec 12, 2021, 12:56:54 PM IST",Paid,₹299.00,Airtel Prepaid
"Dec 12, 2021, 10:30:04 AM IST",Paid,₹140.00,
"Dec 11, 2021, 10:28:45 PM IST",Received,₹350.00,
"Dec 11, 2021, 10:12:18 PM IST",Received,₹140.00,
